ID,NAME,FPl,Layer,SubLayer,PosX,PosY,PosZ,TUCal,TUOff,TUSlw,QUCal,QUPed,TDCal,TDOff,TDSlw,QDCal,QDPed,DTCal,DTOff,TAveOff,tu_det,tu_geo,tu_ch,td_det,td_geo,td_ch,qu_geo,qu_ch,qd_geo,qd_ch,is_tref,is_hpc,id_hpc,Ignore
26,126,13,3,1,1158.2,0,9555.64,0.0976604,-5,0,0.0453188,75.4345,0.0976603,0,0,0.0469974,68.0877,7.226990,5.794940,0,42,11,42,42,11,58,22,10,22,26,0,0,0,0
27,127,13,3,1,1280.6,0,9555.64,0.0976604,-5,0,0.0467119,69.5577,0.0976608,0,0,0.0462641,78.6313,7.379870,6.137190,0,42,11,43,42,11,59,22,11,22,27,0,0,0,0
28,128,13,3,1,1403,0,9555.64,0.0976612,-5,0,0.0474035,70.9338,0.0976604,0,0,0.0518177,67.5984,7.013830,-0.391799,0,42,11,47,42,11,63,22,15,22,31,0,0,0,0
29,129,13,3,1,1525.4,0,9555.64,0.0976608,-5,0,0.0542691,86.5725,0.0976608,0,0,0.0508168,72.2604,7.232290,-1.641820,0,42,11,79,42,11,95,23,15,23,31,0,0,0,0
30,130,13,3,1,1647.8,0,9555.64,0.0976598,-5,0,0.0441479,61.6931,0.0976596,0,0,0.0439628,61.366,7.385220,-0.013653,0,42,12,15,42,12,31,24,15,24,31,0,0,0,0
31,201,13,3,2,-1901.8,0,9675.64,0.0976609,-5,0,0.0482018,79.0735,0.0976611,0,0,0.0454985,73.0622,7.072190,-5.618420,0,42,11,64,42,11,80,23,0,23,16,0,0,0,0
32,202,13,3,2,-1779.4,0,9675.64,0.0976604,-5,0,0.0460855,95.2715,0.0976612,0,0,0.0479977,74.5428,7.138530,-2.801000,0,42,11,65,42,11,81,23,1,23,17,0,0,0,0
33,203,13,3,2,-1657,0,9675.64,0.0976604,-5,0,0.0447199,108.848,0.0976609,0,0,0.0461983,58.4171,7.204260,1.870970,0,42,11,66,42,11,82,23,2,23,18,0,0,0,0
34,204,13,3,2,-1534.6,0,9675.64,0.0976608,-5,0,0.0484979,87.7118,0.097661,0,0,0.0426514,41.7009,7.181530,-3.730610,0,42,11,67,42,11,83,23,3,23,19,0,0,0,0
35,205,13,3,2,-1412.2,0,9675.64,0.0976609,-5,0,0.0467507,81.0822,0.097661,0,0,0.0474157,93.2189,7.367560,3.003190,0,42,11,68,42,11,84,23,4,23,20,0,0,0,0
36,206,13,3,2,-1289.8,0,9675.64,0.0976609,-5,0,0.0476275,65.2185,0.097661,0,0,0.0462124,91.6023,7.503280,-4.662800,0,42,11,69,42,11,85,23,5,23,21,0,0,0,0
37,207,13,3,2,-1167.4,0,9675.64,0.0976609,-5,0,0.0423912,71.47,0.0976608,0,0,0.0427862,71.8228,7.319550,-2.616480,0,42,11,70,42,11,86,23,6,23,22,0,0,0,0
38,208,13,3,2,-1045,0,9675.64,0.0976608,-5,0,0.0421676,56.2919,0.0976607,0,0,0.0457434,75.7701,7.159360,7.727440,0,42,11,71,42,11,87,23,7,23,23,0,0,0,0
39,209,13,3,2,-922.6,0,9675.64,0.0976607,-5,0,0.0441761,68.9296,0.0976605,0,0,0.0501613,88.0535,6.964970,5.546800,0,42,11,72,42,11,88,23,8,23,24,0,0,0,0
40,210,13,3,2,-800.2,0,9675.64,0.0976608,-5,0,0.0508326,85.1005,0.097661,0,0,0.0479833,73.7383,7.092610,2.626100,0,42,11,73,42,11,89,23,9,23,25,0,0,0,0
41,211,13,3,2,-677.8,0,9675.64,0.0976609,-5,0,0.0531286,87.2687,0.0976609,0,0,0.0440279,91.2437,7.004340,-13.011100,0,42,11,74,42,11,90,23,10,23,26,0,0,0,0
