ID,NAME,FPL,tup_offset,tup_ch2ns,tdown_offset,tdown_ch2ns,qped_up,qcal_up,qped_down,qcal_down,t_det,tup_geo,tup_ch,tdown_geo,tdown_ch,q_det,qup_geo,qup_ch,qdown_geo,qdown_ch,TDC_ID,hodfu_tdc_ped,hodfu_tdc_coef,hodfd_tdc_ped,hodfd_tdc_coef
15,HODF15,13,-2.5766900000000001,0.028283800000000001,0.88055499999999998,0.032059499999999998,201.44900000000001,0.01412260594670346,210.953,0.016550600277540836,32,5,14,5,30,31,4,14,4,30,14,-4.516,0.031,-4.936,0.031
16,HODF16,13,1.8031699999999999,0.032306700000000001,0.93056899999999998,0.032569500000000001,205.02199999999999,0.015208591684410022,210.685,0.017611596558964982,32,5,15,5,31,31,4,15,4,31,15,-4.811,0.031,-4.936,0.031
17,HODF17,13,-0.67465600000000003,0.022338899999999998,-1.60764,0.024095200000000001,181.96000000000001,0.01655207537560479,196.22200000000001,0.013644283045403978,32,6,0,6,8,31,3,0,3,8,16,-7.571,0.031,-7.641,0.031
18,HODF18,13,0.58637099999999998,0.032157699999999997,0.52531600000000001,0.031778399999999998,192.40299999999999,0.01396393009441765,213.65199999999999,0.016079556698990697,32,6,1,6,9,31,3,1,3,9,17,-7.484,0.031,-7.797,0.031
19,HODF19,13,-0.57085200000000003,0.022489200000000001,2.8837199999999998,0.027208900000000001,211.27199999999999,0.016408340485686877,211.869,0.015006175618427584,32,6,2,6,10,31,3,2,3,10,18,-7.141,0.031,-7.391,0.031
20,HODF20,13,0.72790200000000005,0.032351999999999999,0.69288499999999997,0.032334799999999997,212.65199999999999,0.01550424577807461,225.488,0.016880486158001352,32,6,3,6,11,31,3,3,3,11,19,-7.183,0.031,-7.218,0.031
21,HODF21,13,0.814473,0.032468299999999999,-1.5563800000000001,0.024446499999999999,176.25800000000001,0.015073861923424784,206.834,0.016956669188427725,32,6,4,6,12,31,3,4,3,12,20,-6.984,0.031,-7.141,0.031
22,HODF22,13,-1.56704,0.0243365,-2.39263,0.026341199999999999,199.208,0.017266110609360889,187.81399999999999,0.014825627808316037,32,6,5,6,13,31,3,5,3,13,21,-7.249,0.031,-7.109,0.031
23,HODF23,13,-1.51654,0.024670000000000001,0.164053,0.0234218,183.71199999999999,0.016929728603427618,226.858,0.016120631928771608,32,6,6,6,14,31,3,6,3,14,22,-6.828,0.031,-4.475,0.031
24,HODF24,13,0.85909400000000002,0.0325581,-2.3536999999999999,0.026425899999999999,195.833,0.015918302374276022,212.464,0.01299532168419369,32,6,7,6,15,31,3,7,3,15,23,-6.870,0.031,-6.937,0.031
25,HODP3,13,-1.04732,0.021844700000000002,-1.2097500000000001,0.021596299999999999,313.062,0.045681354979267653,301.577,0.051979208316673353,34,5,2,5,18,33,3,15,3,31,-126129584,-3.594,0.031,-7.519,0.031
26,HODP15,13,-1.0615300000000001,0.021823200000000001,-1.21993,0.0215979,300.681,0.043482623674616194,266.133,0.029340736226781312,34,5,14,5,30,33,3,1,3,17,1,-4.100,0.031,-7.537,0.031
27,HODP1,13,-1.02033,0.021898500000000001,-1.1525000000000001,0.0216838,313.402,0.055084745762711815,287.559,0.053533190578158481,34,5,0,5,16,33,3,0,3,16,0,-3.937,0.031,-7.791,0.031
28,HODP6,13,-1.00939,0.021932799999999999,-2.7814100000000002,0.025186699999999999,301.128,0.053533190578158481,304.46,0.053533190578158481,34,5,5,5,21,33,3,12,3,28,0,-4.444,0.031,-7.587,0.031
29,HODP12,13,-0.89023099999999999,0.022071,-0.0823966,0.0312359,314.662,0.051605732205946622,328.399,0.058709298649686208,34,5,11,5,27,33,3,11,3,27,-126131200,-4.686,0.031,-8.030,0.031
30,HODP4,13,-3.5333899999999998,0.026931,-0.90935200000000005,0.017860600000000001,336.817,0.071291472443103868,289.65,0.09181439367186954,34,5,3,5,19,33,3,3,3,19,1,-5.422,0.031,-7.636,0.031
