ID,NAME,FPL,tup_offset,tup_ch2ns,tdown_offset,tdown_ch2ns,qped_up,qcal_up,qped_down,qcal_down,t_det,tup_geo,tup_ch,tdown_geo,tdown_ch,q_det,qup_geo,qup_ch,qdown_geo,qdown_ch,TDC_ID,hodfu_tdc_ped,hodfu_tdc_coef,hodfd_tdc_ped,hodfd_tdc_coef
1,HODF1,13,-2.8710800000000001,0.0253251,-2.5107499999999998,0.018015199999999999,190.91499999999999,0.0082495161341498233,174.381,0.007257744851188316,32,5,0,5,16,31,4,0,4,16,0,-4.100,0.031,-4.703,0.031
2,HODF2,13,1.33691,0.033119900000000001,2.8389500000000001,0.0272026,187.614,0.008286271560241195,174.63200000000001,0.0089736863903691639,32,5,1,5,17,31,4,1,4,17,1,-4.874,0.031,-5.266,0.031
3,HODF3,13,-2.0192800000000002,0.027234700000000001,0.74152300000000004,0.031687100000000003,198.67099999999999,0.0073935471395503586,189.083,0.0091281237492715061,32,5,2,5,18,31,4,2,4,18,2,-4.507,0.031,-4.891,0.031
4,HODF4,13,-1.38157,0.025378100000000001,0.245451,0.015955199999999999,206.13300000000001,0.008645513975805862,183.458,0.0094861429342829214,32,5,3,5,19,31,4,3,4,19,3,-4.874,0.031,-5.311,0.031
5,HODF5,13,-1.9397899999999999,0.027448799999999999,0.94305799999999995,0.031828299999999997,178.16999999999999,0.0083692783106933625,191.14099999999999,0.0088822689414385179,32,5,4,5,20,31,4,4,4,20,4,-4.122,0.031,-4.682,0.031
6,HODF6,13,-1.34602,0.0256207,0.77706900000000001,0.031893299999999999,184.33099999999999,0.0076394642972574317,201.68100000000001,0.0085628281045191986,32,5,5,5,21,31,4,5,4,21,5,-4.422,0.031,-4.937,0.031
7,HODF7,13,3.6182500000000002,0.024716100000000001,1.24109,0.032950800000000002,198.74100000000001,0.0076579150442686404,208.77099999999999,0.0082945721595875672,32,5,6,5,22,31,4,6,4,22,6,-3.569,0.031,-3.718,0.031
8,HODF8,13,-1.2730300000000001,0.025984899999999998,4.4279099999999998,0.020721300000000002,209.61199999999999,0.008393161510252569,212.06299999999999,0.0076274517857038079,32,5,7,5,23,31,4,7,4,23,7,-3.859,0.031,-3.797,0.031
9,HODF9,13,-2.2436099999999999,0.028732899999999999,3.1211500000000001,0.024565300000000002,192.00700000000001,0.0096659305688771915,196.74000000000001,0.0081884605694129507,32,5,8,5,24,31,4,8,4,24,8,-3.280,0.031,-3.594,0.031
10,HODF10,13,1.8355399999999999,0.033706600000000003,3.3965999999999998,0.027485200000000001,188.51900000000001,0.0091561546967552001,182.56800000000001,0.0090952340973329982,32,5,9,5,25,31,4,9,4,25,9,-3.850,0.031,-4.100,0.031
11,HODF11,13,3.6433900000000001,0.0247151,1.31274,0.032367,196.97800000000001,0.0072013383410332267,207.19300000000001,0.0091998273263178762,32,5,10,5,26,31,4,10,4,26,10,-3.652,0.031,-3.937,0.031
12,HODF12,13,1.8103100000000001,0.033678399999999997,-1.4608099999999999,0.024902899999999999,210.11099999999999,0.01126623854960178,227.31399999999999,0.0077295375358234332,32,5,11,5,27,31,4,11,4,27,11,-3.891,0.031,-4.444,0.031
13,HODF13,13,1.55349,0.033387399999999998,1.3985700000000001,0.032061800000000001,167.65199999999999,0.0098598386020265754,187.304,0.0089534146946196862,32,5,12,5,28,31,4,12,4,28,12,-4.496,0.031,-4.686,0.031
14,HODF14,13,-1.40534,0.025239000000000001,2.1088100000000001,0.0249359,218.303,0.0099848690830049852,207.50899999999999,0.011017789492418913,32,5,13,5,29,31,4,13,4,29,13,-4.996,0.031,-5.422,0.031
15,HODF15,13,-2.5766900000000001,0.028283800000000001,0.88055499999999998,0.032059499999999998,199.78399999999999,0.0084571547529209718,210.227,0.0095396740366763787,32,5,14,5,30,31,4,14,4,30,14,-4.516,0.031,-4.936,0.031
16,HODF16,13,1.8031699999999999,0.032306700000000001,0.93056899999999998,0.032569500000000001,204.99799999999999,0.00858074480864939,203.46199999999999,0.0096269198299737853,32,5,15,5,31,31,4,15,4,31,15,-4.811,0.031,-4.936,0.031
17,HODF17,13,-0.67465600000000003,0.022338899999999998,-1.60764,0.024095200000000001,180.06700000000001,0.0089388240633143795,193.023,0.007625662112777677,32,6,0,6,8,31,3,0,3,8,16,-7.571,0.031,-7.641,0.031
18,HODF18,13,0.58637099999999998,0.032157699999999997,0.52531600000000001,0.031778399999999998,191.91900000000001,0.0074039901811699454,211.71199999999999,0.0095037576395590254,32,6,1,6,9,31,3,1,3,9,17,-7.484,0.031,-7.797,0.031
19,HODF19,13,-0.57085200000000003,0.022489200000000001,2.8837199999999998,0.027208900000000001,208.50299999999999,0.0087250078860648204,210.10499999999999,0.00853046359788707,32,6,2,6,10,31,3,2,3,10,18,-7.141,0.031,-7.391,0.031
20,HODF20,13,0.72790200000000005,0.032351999999999999,0.69288499999999997,0.032334799999999997,220.62700000000001,0.0094978556764299758,224.06299999999999,0.0096699569314995116,32,6,3,6,11,31,3,3,3,11,19,-7.183,0.031,-7.218,0.031
21,HODF21,13,0.814473,0.032468299999999999,-1.5563800000000001,0.024446499999999999,172.721,0.0083990722255603157,203.41200000000001,0.0096951255891653248,32,6,4,6,12,31,3,4,3,12,20,-6.984,0.031,-7.141,0.031
